number,element,要素名,情報
14,day_12,12日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 106850.0, ""avg_diff"": 278.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 52787.0, ""avg_diff"": 137.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 68763.0, ""avg_diff"": 179.0}]"
15,day_13,13日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 43350.0, ""avg_diff"": 113.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 9735.0, ""avg_diff"": 25.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 120851.0, ""avg_diff"": 314.0}]"
16,day_14,14日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 252450.0, ""avg_diff"": 656.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 153910.0, ""avg_diff"": 400.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 79837.0, ""avg_diff"": 207.0}]"
17,day_15,15日,"[{""month"": 3, ""year"": 2025, ""total_diff"": -38450.0, ""avg_diff"": -100.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 65284.0, ""avg_diff"": 170.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 71388.0, ""avg_diff"": 185.0}]"
18,day_16,16日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 106900.0, ""avg_diff"": 278.0}, {""month"": 4, ""year"": 2025, ""total_diff"": -74538.0, ""avg_diff"": -194.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 25305.0, ""avg_diff"": 66.0}]"
19,day_17,17日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 95450.0, ""avg_diff"": 248.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 94919.0, ""avg_diff"": 247.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -131802.0, ""avg_diff"": -342.0}]"
20,day_18,18日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 40500.0, ""avg_diff"": 105.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 65289.0, ""avg_diff"": 170.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 62440.0, ""avg_diff"": 162.0}]"
21,day_19,19日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 37200.0, ""avg_diff"": 97.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 195450.0, ""avg_diff"": 508.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 166309.0, ""avg_diff"": 432.0}]"
22,day_20,20日,"[{""month"": 3, ""year"": 2025, ""total_diff"": -16900.0, ""avg_diff"": -44.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 40167.0, ""avg_diff"": 104.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 125140.0, ""avg_diff"": 325.0}]"
23,day_21,21日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 51550.0, ""avg_diff"": 134.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 143807.0, ""avg_diff"": 374.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 32107.0, ""avg_diff"": 83.0}]"
24,day_22,22日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 83550.0, ""avg_diff"": 217.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 83788.0, ""avg_diff"": 218.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 153135.0, ""avg_diff"": 398.0}]"
25,day_23,23日,"[{""month"": 3, ""year"": 2025, ""total_diff"": -18850.0, ""avg_diff"": -49.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 135068.0, ""avg_diff"": 351.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 125023.0, ""avg_diff"": 325.0}]"
26,day_24,24日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 160900.0, ""avg_diff"": 418.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 47652.0, ""avg_diff"": 124.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -3544.0, ""avg_diff"": -9.0}]"
27,day_25,25日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 20350.0, ""avg_diff"": 53.0}, {""month"": 4, ""year"": 2025, ""total_diff"": -55221.0, ""avg_diff"": -143.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -10377.0, ""avg_diff"": -27.0}]"
28,day_26,26日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 87700.0, ""avg_diff"": 228.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 43862.0, ""avg_diff"": 114.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -6570.0, ""avg_diff"": -17.0}]"
29,day_27,27日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 31150.0, ""avg_diff"": 81.0}, {""month"": 4, ""year"": 2025, ""total_diff"": -32811.0, ""avg_diff"": -85.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 11243.0, ""avg_diff"": 29.0}]"
30,day_28,28日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 124150.0, ""avg_diff"": 322.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 69627.0, ""avg_diff"": 181.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 60602.0, ""avg_diff"": 157.0}]"
31,day_29,29日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 400.0, ""avg_diff"": 1.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 117516.0, ""avg_diff"": 305.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 318097.0, ""avg_diff"": 826.0}]"
32,day_30,30日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 7400.0, ""avg_diff"": 19.0}, {""month"": 4, ""year"": 2025, ""total_diff"": -24330.0, ""avg_diff"": -63.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -35947.0, ""avg_diff"": -93.0}]"
